timestamp,file_name,media_type,status,action
# timestamp → When event occurred
# file_name → Media file detected
# media_type → Type of Media ie Tv Show or Movie ect.
# status → Example: healthy / needs_rename / duplicate
# action → Example: scanned / renamed / flagged
2026-05-16 21:07:24.596698,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:07:24.596923,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:07:24.597131,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:07:24.597258,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:07:24.597331,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:07:24.597543,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:07:24.597672,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
2026-05-16 21:08:25.325501,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:08:25.325696,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:08:25.325872,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:08:25.325986,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:08:25.326072,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:08:25.326279,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:08:25.326381,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
2026-05-16 21:08:42.911168,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:08:42.911282,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:08:42.911366,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:08:42.911415,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:08:42.911453,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:08:42.911575,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:08:42.911756,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
2026-05-16 21:10:01.347535,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:10:01.347771,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:10:01.347961,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:10:01.348105,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:10:01.348194,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:10:01.348399,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:10:01.348506,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
2026-05-16 21:10:23.132031,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:10:23.133224,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:10:23.133956,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:10:23.134692,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:10:23.134803,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:10:23.134974,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:10:23.135211,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
2026-05-16 21:56:01.639342,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:56:01.640088,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:56:01.640250,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:56:01.640352,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:56:01.640436,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:56:01.640656,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:56:01.640764,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
2026-05-16 21:56:09.819783,test_media/Tv/Game Of Thrones/Season 2/Game.Of.ThronesS02E01.txt,TV Show,valid,scanned
2026-05-16 21:56:09.819943,test_media/Tv/Game Of Thrones/Season 1/Game.Of.ThronesS01E01.txt,TV Show,valid,scanned
2026-05-16 21:56:09.820065,test_media/Tv/Breaking Bad/Season 2/Breaking.Bad.S02E01.txt,TV Show,valid,scanned
2026-05-16 21:56:09.820161,test_media/Tv/Breaking Bad/Season 1/badfile.txt,TV Show,needs_rename,scanned
2026-05-16 21:56:09.820214,test_media/Tv/Breaking Bad/Season 1/Breaking.Bad.S01E01.txt,TV Show,valid,scanned
2026-05-16 21:56:09.820344,test_media/Movies/The Matrix (1999)/The.Matrix.1999.1080p.mkv,Movie,valid,scanned
2026-05-16 21:56:09.820413,test_media/Movies/Blade Runner 2049 (2017)/Blade.Runner.2049.2017.1080p.mkv,Movie,valid,scanned
